number_of_trials,alpha,epsilon,number_of_penalties,destination_reached,time_left
2,0.0,0.0,0,False,0
3,0.72134752044448169,0.5,10,True,1
4,0.62133493455961186,0.3333333333333333,6,True,13
5,0.55811062655124721,0.25,2,True,20
6,0.51389834236975074,0.2,4,True,33
7,0.48089834696298783,0.16666666666666666,2,True,12
8,0.45511961331341866,0.14285714285714285,0,True,19
9,0.43429448190325176,0.125,0,True,26
10,0.41703239142424631,0.1111111111111111,5,True,10
11,0.40242960438184466,0.1,0,True,24
12,0.38987124525128009,0.09090909090909091,0,True,21
13,0.37892318168995121,0.08333333333333333,2,True,16
14,0.36926937306885504,0.07692307692307693,2,True,3
15,0.36067376022224085,0.07142857142857142,1,True,28
16,0.35295612386476116,0.06666666666666667,0,True,21
17,0.3459762562611936,0.0625,2,True,4
18,0.3396232718951086,0.058823529411764705,2,True,10
19,0.33380820069533407,0.05555555555555555,1,True,12
20,0.32845873875305109,0.05263157894736842,1,True,20
21,0.32351545314867247,0.05,0,True,10
22,0.318928988903801,0.047619047619047616,0,True,14
23,0.31465798044412485,0.045454545454545456,2,True,0
24,0.31066746727980593,0.043478260869565216,0,True,17
25,0.30692767643013485,0.041666666666666664,3,True,20
26,0.30341307554227914,0.04,0,True,22
27,0.30010162850041311,0.038461538461538464,0,True,24
28,0.29697420437337008,0.037037037037037035,0,True,18
29,0.29401410379520604,0.03571428571428571,0,True,18
30,0.29120667621996243,0.034482758620689655,0,True,13
31,0.28853900817779266,0.03333333333333333,0,True,15
32,0.28599966750267436,0.03225806451612903,0,True,25
33,0.2835784920513334,0.03125,0,True,14
34,0.28126641406272834,0.030303030303030304,0,True,20
35,0.27905531327562361,0.029411764705882353,0,True,16
36,0.27693789340885738,0.02857142857142857,0,True,15
37,0.27490757774249358,0.027777777777777776,0,True,12
38,0.27295842040939738,0.02702702702702703,0,True,15
39,0.27108503068181677,0.02631578947368421,0,True,21
40,0.26928250806439102,0.02564102564102564,0,True,15
41,0.26754638641905398,0.025,0,True,17
42,0.265872585674852,0.024390243902439025,0,True,17
43,0.26425736993644544,0.023809523809523808,0,True,16
44,0.26269731101386307,0.023255813953488372,0,True,17
45,0.2611892565642242,0.022727272727272728,0,True,28
46,0.25973030217227155,0.022222222222222223,0,True,33
47,0.25831776680732876,0.021739130434782608,0,True,10
48,0.25694917118487537,0.02127659574468085,0,True,18
49,0.25562221863533147,0.020833333333333332,0,True,18
50,0.25433477814404226,0.02040816326530612,0,True,29
51,0.25308486927731688,0.02,0,True,19
52,0.25187064875169968,0.0196078431372549,0,True,20
53,0.25069039843899688,0.019230769230769232,0,True,21
54,0.24954251462921184,0.018867924528301886,0,True,12
55,0.24842549839846914,0.018518518518518517,0,True,25
56,0.2473379469500514,0.01818181818181818,0,True,14
57,0.24627854581449443,0.017857142857142856,0,True,12
58,0.24524606180983041,0.017543859649122806,0,True,31
59,0.24423933667597231,0.017241379310344827,0,True,14
60,0.24325728130826463,0.01694915254237288,0,True,15
61,0.2422988705246811,0.016666666666666666,0,True,21
62,0.24136313830927508,0.01639344262295082,0,True,15
63,0.24044917348149392,0.016129032258064516,0,True,13
64,0.23955611574701857,0.015873015873015872,0,True,10
65,0.23868315209103041,0.015625,0,True,15
66,0.23782951347935782,0.015384615384615385,0,True,20
67,0.23699447183691388,0.015151515151515152,0,True,14
68,0.23617733727628992,0.014925373134328358,0,True,23
69,0.23537745555238682,0.014705882352941176,0,True,14
70,0.23459420572161058,0.014492753623188406,0,True,14
71,0.23382699798647663,0.014285714285714285,0,True,11
72,0.23307527170850925,0.014084507042253521,0,True,7
73,0.23233849357411737,0.013888888888888888,0,True,18
74,0.23161615589971676,0.0136986301369863,0,True,20
75,0.23090777506376875,0.013513513513513514,0,True,17
76,0.2302128900546512,0.013333333333333334,0,True,15
77,0.22953106112437666,0.013157894736842105,0,True,27
78,0.22886186853915486,0.012987012987012988,0,True,14
79,0.22820491141866869,0.01282051282051282,2,True,18
80,0.22755980665670933,0.012658227848101266,0,True,21
81,0.2269261879165124,0.0125,0,True,24
82,0.22630370469475658,0.012345679012345678,0,True,17
83,0.22569202144874392,0.012195121951219513,0,True,13
84,0.22509081678177853,0.012048192771084338,0,True,23
85,0.22449978268220952,0.011904761904761904,0,True,14
86,0.2239186238120062,0.011764705882352941,0,True,27
87,0.22334705684109696,0.011627906976744186,0,True,13
88,0.22278480982403021,0.011494252873563218,0,True,24
89,0.22223162161581039,0.011363636363636364,0,True,22
90,0.22168724132403095,0.011235955056179775,0,True,9
91,0.2211514277946646,0.011111111111111112,0,True,15
92,0.22062394912909372,0.01098901098901099,0,True,30
93,0.22010458223015891,0.010869565217391304,0,True,10
94,0.21959311237518594,0.010752688172043012,2,True,23
95,0.21908933281411486,0.010638297872340425,1,True,6
96,0.21859304439100327,0.010526315789473684,0,True,19
97,0.2181040551873126,0.010416666666666666,1,True,17
98,0.21762218018550925,0.010309278350515464,0,True,20
99,0.21714724095162588,0.01020408163265306,0,True,10
100,0.21667906533553166,0.010101010101010102,0,True,11
101,0.21621748718775349,0.01,0,True,40
