number_of_trials,alpha,epsilon,number_of_penalties,destination_reached,time_left 
2,0.0,0.2,0,False,0
3,0.5,0.2,4,True,34
4,0.3333333333333333,0.2,3,True,0
5,0.25,0.2,17,False,0
6,0.2,0.2,10,True,0
7,0.16666666666666666,0.2,15,True,0
8,0.14285714285714285,0.2,24,True,0
9,0.125,0.2,48,True,0
10,0.1111111111111111,0.2,8,True,10
11,0.1,0.2,41,True,0
12,0.09090909090909091,0.2,14,True,8
13,0.08333333333333333,0.2,59,True,0
14,0.07692307692307693,0.2,53,True,0
15,0.07142857142857142,0.2,27,True,0
16,0.06666666666666667,0.2,84,False,0
17,0.0625,0.2,26,True,0
18,0.058823529411764705,0.2,6,True,18
19,0.05555555555555555,0.2,15,True,13
20,0.05263157894736842,0.2,21,True,0
21,0.05,0.2,5,True,31
22,0.047619047619047616,0.2,81,False,0
23,0.045454545454545456,0.2,3,True,20
24,0.043478260869565216,0.2,3,True,14
25,0.041666666666666664,0.2,5,True,16
26,0.04,0.2,43,True,0
27,0.038461538461538464,0.2,46,True,0
28,0.037037037037037035,0.2,12,True,10
29,0.03571428571428571,0.2,7,True,21
30,0.034482758620689655,0.2,32,True,0
31,0.03333333333333333,0.2,73,True,0
32,0.03225806451612903,0.2,22,True,0
33,0.03125,0.2,9,True,8
34,0.030303030303030304,0.2,8,True,17
35,0.029411764705882353,0.2,63,True,0
36,0.02857142857142857,0.2,8,True,13
37,0.027777777777777776,0.2,15,True,13
38,0.02702702702702703,0.2,38,True,0
39,0.02631578947368421,0.2,37,True,0
40,0.02564102564102564,0.2,9,True,29
41,0.025,0.2,81,True,0
42,0.024390243902439025,0.2,10,True,5
43,0.023809523809523808,0.2,62,True,0
44,0.023255813953488372,0.2,17,True,12
45,0.022727272727272728,0.2,13,True,18
46,0.022222222222222223,0.2,57,True,0
47,0.021739130434782608,0.2,14,True,11
48,0.02127659574468085,0.2,9,True,4
49,0.020833333333333332,0.2,27,True,0
50,0.02040816326530612,0.2,6,True,8
51,0.02,0.2,22,True,0
52,0.0196078431372549,0.2,66,True,0
53,0.019230769230769232,0.2,10,True,13
54,0.018867924528301886,0.2,79,False,0
55,0.018518518518518517,0.2,19,True,3
56,0.01818181818181818,0.2,22,True,0
57,0.017857142857142856,0.2,46,True,0
58,0.017543859649122806,0.2,45,True,0
59,0.017241379310344827,0.2,18,True,5
60,0.01694915254237288,0.2,69,True,0
61,0.016666666666666666,0.2,48,True,0
62,0.01639344262295082,0.2,14,True,0
63,0.016129032258064516,0.2,49,True,0
64,0.015873015873015872,0.2,93,False,0
65,0.015625,0.2,93,False,0
66,0.015384615384615385,0.2,2,True,17
67,0.015151515151515152,0.2,10,True,21
68,0.014925373134328358,0.2,20,True,0
69,0.014705882352941176,0.2,2,True,14
70,0.014492753623188406,0.2,48,True,0
71,0.014285714285714285,0.2,14,True,4
72,0.014084507042253521,0.2,5,True,17
73,0.013888888888888888,0.2,10,True,1
74,0.0136986301369863,0.2,10,True,7
75,0.013513513513513514,0.2,38,True,0
76,0.013333333333333334,0.2,20,True,0
77,0.013157894736842105,0.2,70,False,0
78,0.012987012987012988,0.2,54,True,0
79,0.01282051282051282,0.2,26,True,0
80,0.012658227848101266,0.2,11,True,15
81,0.0125,0.2,42,True,0
82,0.012345679012345678,0.2,15,True,16
83,0.012195121951219513,0.2,39,True,0
84,0.012048192771084338,0.2,0,True,35
85,0.011904761904761904,0.2,16,True,18
86,0.011764705882352941,0.2,16,True,0
87,0.011627906976744186,0.2,39,True,0
88,0.011494252873563218,0.2,13,True,0
89,0.011363636363636364,0.2,14,True,0
90,0.011235955056179775,0.2,23,True,0
91,0.011111111111111112,0.2,14,True,18
92,0.01098901098901099,0.2,13,True,6
93,0.010869565217391304,0.2,23,True,0
94,0.010752688172043012,0.2,16,True,3
95,0.010638297872340425,0.2,70,True,0
96,0.010526315789473684,0.2,24,True,0
97,0.010416666666666666,0.2,76,False,0
98,0.010309278350515464,0.2,1,True,19
99,0.01020408163265306,0.2,11,True,2
100,0.010101010101010102,0.2,48,True,0
101,0.01,0.2,55,True,0
